,Ranking,m/z A,Interpretation A,error A,m/z B,Interpretation B,error B
15461,3891,566.278227,internal 3:8 (+1) (C13),-0.00198556,746.892819,No Match,-1000.0
18857,3892,654.860832,y12 (+2) (C13),-0.00220399,529.270973,b5 (+1) (C13) / internal 5:10-H2O-H2O (+1) (C13),-0.00121392
13062,3893,535.955778,No Match,-1000.0,266.125697,internal 6:8 (+1) / internal 3:8-H2O-NH3 (+2) (C13) / internal 5:10-NH3-NH3 (+2) (C13),-0.00093117
21070,3894,668.863524,y13-HNCNH (+2),0.00108448,300.156407,b3 (+1) / b6 (+2) / internal 3:5 (+1) / internal 4:6 (+1),-0.00100975
2821,3895,300.156407,b3 (+1) / b6 (+2) / internal 3:5 (+1) / internal 4:6 (+1),-0.00100975,476.273741,y8 (+2),-0.00158266
29885,3896,1107.512648,b11 (+1) / internal 2:12 (+1),-0.00612007,689.374307,No Match,-1000.0
15872,3897,596.845575,y11 (+2),-0.00209592,476.775123,y8 (+2) (C13),-0.00128724
22934,3898,689.374307,No Match,-1000.0,725.878589,No Match,-1000.0
26256,3899,747.394056,internal 5:12-H2O-CO (+1) (C13) / internal 5:12-HCOOH (+1) (C13) / internal 6:13-H2O-CO (+1) (C13) / internal 6:13-HCOOH (+1) (C13),0.00369757,757.460091,y6 (+1),-0.00342636
16322,3900,597.848378,No Match,-1000.0,725.878589,No Match,-1000.0
9931,3901,510.25783,b5-H2O (+1) / internal 9:13-NH3 (+1),-0.00199044,272.161442,b3-CO (+1) / b6-CO-CO (+2) / internal 3:5-CO (+1) / internal 4:6-CO (+1),-0.00095937
13123,3902,535.955778,No Match,-1000.0,532.294456,y10-NH3 (+2) (C13),-0.00460604
19563,3903,660.881708,No Match,-1000.0,535.955778,No Match,-1000.0
9031,3904,501.360683,y4 (+1) (C13),-0.00183413,758.462697,y6 (+1) (C13),-0.00267753
29924,3905,1107.512648,b11 (+1) / internal 2:12 (+1),-0.00612007,1091.55473,internal 3:13 (+1),-0.00673118
29544,3906,1080.604578,y10 (+1) (C13),-0.00560545,721.890295,No Match,-1000.0
13909,3907,536.625725,Parent (+3) (C13),-0.00150724,951.541865,y8 (+1),-0.00482478
16281,3908,597.848378,No Match,-1000.0,629.40075,y5 (+1),-0.00266287
4741,3909,402.292021,y3 (+1) (C13),-0.00158604,487.767518,y9-H2O-NH3 (+2) (C13),-0.00150727
19749,3910,661.357419,No Match,-1000.0,565.275177,internal 3:8 (+1) / b6-H2O-NH3 (+1) (C13),-0.00229039
18934,3911,654.860832,y12 (+2) (C13),-0.00220399,731.912667,No Match,-1000.0
25729,3912,746.307712,No Match,-1000.0,750.356517,internal 3:10 (+1),-0.00358916
2385,3913,272.161442,b3-CO (+1) / b6-CO-CO (+2) / internal 3:5-CO (+1) / internal 4:6-CO (+1),-0.00095937,675.869221,No Match,-1000.0
24103,3914,721.890295,No Match,-1000.0,596.845575,y11 (+2),-0.00209592
11472,3915,529.270973,b5 (+1) (C13) / internal 5:10-H2O-H2O (+1) (C13),-0.00121392,879.399748,internal 2:10 (+1) / internal 3:11 (+1),-0.00422707
18305,3916,646.851595,No Match,-1000.0,460.588166,No Match,-1000.0
13225,3917,536.182618,No Match,-1000.0,175.119605,y1 (+1),-0.00065283
635,3918,187.072039,internal 3:4 (+1),-0.00070573,661.357419,No Match,-1000.0
30158,3919,1205.641873,internal 3:14 (+1) (C13),-0.00645537,505.787346,No Match,-1000.0
11677,3920,530.621016,Parent-H2O (+3) (C13),-0.00031981,371.193813,internal 3:6 (+1),-0.00130197
4070,3921,398.232448,No Match,-1000.0,530.954686,No Match,-1000.0
16547,3922,603.793117,b12 (+2),-0.00200785,301.159861,b3 (+1) (C13) / internal 3:5 (+1) (C13) / internal 4:6 (+1) (C13),-0.00110892
16184,3923,597.848378,No Match,-1000.0,183.113388,b2-H2O-CO (+1) / b2-HCOOH (+1) / internal 4:5-H2O-CO (+1) / internal 4:5-HCOOH (+1) / internal 11:12-H2O-CO (+1) / internal 11:12-HCOOH (+1),-0.00058384
20509,3924,667.861197,y13-CO-NH3 (+2) (C13),0.00525604,750.356517,internal 3:10 (+1),-0.00358916
15725,3925,588.337358,y11-H2O (+2) (C13),0.00251616,529.270973,b5 (+1) (C13) / internal 5:10-H2O-H2O (+1) (C13),-0.00121392
20242,3926,667.389809,No Match,-1000.0,517.276486,No Match,-1000.0
16402,3927,599.30583,b6 (+1),-0.00231197,495.779102,y9-H2O (+2),-0.00149414
5418,3928,425.707564,b9 (+2),-0.0012471,399.225909,y7-NH3 (+2),0.00351886
4331,3929,399.225909,y7-NH3 (+2),0.00351886,755.402417,No Match,-1000.0
2372,3930,272.161442,b3-CO (+1) / b6-CO-CO (+2) / internal 3:5-CO (+1) / internal 4:6-CO (+1),-0.00095937,659.353388,No Match,-1000.0
21787,3931,681.370686,y13-H2O (+2) (C13),0.00121656,476.273741,y8 (+2),-0.00158266
401,3932,183.113388,b2-H2O-CO (+1) / b2-HCOOH (+1) / internal 4:5-H2O-CO (+1) / internal 4:5-HCOOH (+1) / internal 11:12-H2O-CO (+1) / internal 11:12-HCOOH (+1),-0.00058384,503.602581,No Match,-1000.0
6178,3933,460.588166,No Match,-1000.0,566.278227,internal 3:8 (+1) (C13),-0.00198556
15202,3934,565.275177,internal 3:8 (+1) / b6-H2O-NH3 (+1) (C13),-0.00229039,528.268562,b5 (+1) / internal 3:13-H2O-H2O (+2) / internal 5:10-H2O-H2O (+1),-0.00215775
30111,3935,1205.641873,internal 3:14 (+1) (C13),-0.00645537,229.119049,b2 (+1) / internal 4:5 (+1) / internal 11:12 (+1),-0.00076553
17652,3936,645.354248,y12-H2O (+2),-0.00257975,536.291421,Parent (+3) / internal 5:10-CO (+1),-0.00165486
25925,3937,746.395337,internal 5:12-H2O-CO (+1) / internal 5:12-HCOOH (+1) / internal 6:13-H2O-CO (+1) / internal 6:13-HCOOH (+1),-0.00093827,1205.641873,internal 3:14 (+1) (C13),-0.00645537
29444,3938,1080.604578,y10 (+1) (C13),-0.00560545,476.775123,y8 (+2) (C13),-0.00128724
19862,3939,661.858094,No Match,-1000.0,401.288604,y3 (+1),-0.00152387
8926,3940,501.360683,y4 (+1) (C13),-0.00183413,503.268414,No Match,-1000.0
3748,3941,397.173179,b4-H2O (+1) / internal 9:12-NH3 (+1),-0.00140342,599.30583,b6 (+1),-0.00231197
19419,3942,660.387149,No Match,-1000.0,646.851595,No Match,-1000.0
573,3943,187.072039,internal 3:4 (+1),-0.00070573,501.360683,y4 (+1) (C13),-0.00183413
8543,3944,500.273383,b5-CO (+1),-0.00189337,301.159861,b3 (+1) (C13) / internal 3:5 (+1) (C13) / internal 4:6 (+1) (C13),-0.00110892
26746,3945,754.399472,y14 (+2),-0.00266797,680.872829,y13-H2O (+2),-0.00260386
20736,3946,668.361566,No Match,-1000.0,416.187017,b4 (+1) (C13) / internal 6:10-H2O-H2O (+1) (C13),-0.0013219
13370,3947,536.182618,No Match,-1000.0,745.895269,y14-H2O (+2) (C13),-0.0020699
19393,3948,660.387149,No Match,-1000.0,536.625725,Parent (+3) (C13),-0.00150724
4146,3949,398.232448,No Match,-1000.0,736.389846,y14-H2O-H2O (+2),-0.00360666
11887,3950,530.954686,No Match,-1000.0,505.285893,y9 (+2) (C13),-0.00132538
323,3951,175.119605,y1 (+1),-0.00065283,746.892819,No Match,-1000.0
11624,3952,530.2879,Parent-H2O (+3),-0.00165542,725.878589,No Match,-1000.0
20883,3953,668.386186,No Match,-1000.0,187.072039,internal 3:4 (+1),-0.00070573
29810,3954,1107.512648,b11 (+1) / internal 2:12 (+1),-0.00612007,505.787346,No Match,-1000.0
14753,3955,541.306032,No Match,-1000.0,717.904469,No Match,-1000.0
7959,3956,494.237812,internal 4:8 (+1) / internal 4:13-NH3-NH3 (+2) (C13),-0.00203917,683.374046,No Match,-1000.0
12461,3957,531.621297,No Match,-1000.0,654.359227,y12 (+2),-0.00227641
21304,3958,675.365928,y13-HCOH (+2) (C13),0.0059744,536.182618,No Match,-1000.0
29184,3959,1009.566717,y9 (+1) (C13),-0.00485823,681.870748,No Match,-1000.0
15733,3960,588.337358,y11-H2O (+2) (C13),0.00251616,532.294456,y10-NH3 (+2) (C13),-0.00460604
10032,3961,510.25783,b5-H2O (+1) / internal 9:13-NH3 (+1),-0.00199044,661.858094,No Match,-1000.0
27404,3962,758.462697,y6 (+1) (C13),-0.00267753,554.760058,b11 (+2) (C13) / internal 2:12 (+2) (C13),-0.00147839
20121,3963,666.887703,No Match,-1000.0,660.387149,No Match,-1000.0
29448,3964,1080.604578,y10 (+1) (C13),-0.00560545,487.266092,y9-H2O-NH3 (+2),-0.00175869
26948,3965,754.901072,y14 (+2) (C13),-0.00259056,753.896121,No Match,-1000.0
11794,3966,530.621016,Parent-H2O (+3) (C13),-0.00031981,694.319024,internal 2:8 (+1),-0.0035443
27535,3967,759.391959,No Match,-1000.0,487.767518,y9-H2O-NH3 (+2) (C13),-0.00150727
17391,3968,629.40075,y5 (+1),-0.00266287,978.469136,b10 (+1) / internal 3:12 (+1),-0.00520116
22318,3969,682.872369,No Match,-1000.0,495.779102,y9-H2O (+2),-0.00149414
7777,3970,489.73711,b10 (+2) / internal 3:12 (+2),-0.00150435,668.863524,y13-HNCNH (+2),0.00108448
19970,3971,661.858094,No Match,-1000.0,690.880814,No Match,-1000.0
25935,3972,746.892819,No Match,-1000.0,229.119049,b2 (+1) / internal 4:5 (+1) / internal 11:12 (+1),-0.00076553
10629,3973,524.284538,Parent-H2O-H2O (+3),-0.00181498,298.104311,internal 2:4-H2O (+1) / internal 9:11-NH3 (+1),-0.00094933
25080,3974,736.389846,y14-H2O-H2O (+2),-0.00360666,399.225909,y7-NH3 (+2),0.00351886
3654,3975,397.173179,b4-H2O (+1) / internal 9:12-NH3 (+1),-0.00140342,156.102426,No Match,-1000.0
507,3976,183.113388,b2-H2O-CO (+1) / b2-HCOOH (+1) / internal 4:5-H2O-CO (+1) / internal 4:5-HCOOH (+1) / internal 11:12-H2O-CO (+1) / internal 11:12-HCOOH (+1),-0.00058384,759.893576,No Match,-1000.0
719,3977,195.08835,internal 7:8 (+1) / internal 8:9 (+1),-0.00069795,398.232448,No Match,-1000.0
24650,3978,726.38,No Match,-1000.0,667.389809,No Match,-1000.0
28289,3979,879.399748,internal 2:10 (+1) / internal 3:11 (+1),-0.00422707,645.354248,y12-H2O (+2),-0.00257975
7673,3980,489.73711,b10 (+2) / internal 3:12 (+2),-0.00150435,301.159861,b3 (+1) (C13) / internal 3:5 (+1) (C13) / internal 4:6 (+1) (C13),-0.00110892
8018,3981,495.779102,y9-H2O (+2),-0.00149414,288.204002,y2 (+1),-0.00098585
20340,3982,667.389809,No Match,-1000.0,757.460091,y6 (+1),-0.00342636
10274,3983,521.297717,No Match,-1000.0,202.127494,b2-CO (+1) (C13) / internal 4:5-CO (+1) (C13) / internal 11:12-CO (+1) (C13),-0.00077032
20930,3984,668.386186,No Match,-1000.0,500.357482,y4 (+1),-0.00198796
20424,3985,667.861197,y13-CO-NH3 (+2) (C13),0.00525604,530.2879,Parent-H2O (+3),-0.00165542
26993,3986,755.402417,No Match,-1000.0,398.232448,No Match,-1000.0
21881,3987,681.370686,y13-H2O (+2) (C13),0.00121656,689.374307,No Match,-1000.0
14116,3988,537.279979,internal 3:8-CO (+1),-0.00200701,397.19662,b8 (+2),-0.00103496
13666,3989,536.291421,Parent (+3) / internal 5:10-CO (+1),-0.00165486,599.30583,b6 (+1),-0.00231197
14218,3990,537.279979,internal 3:8-CO (+1),-0.00200701,680.872829,y13-H2O (+2),-0.00260386
1149,3991,201.124072,b2-CO (+1) / internal 4:5-CO (+1) / internal 11:12-CO (+1),-0.00070315,646.851595,No Match,-1000.0
1534,3992,202.127494,b2-CO (+1) (C13) / internal 4:5-CO (+1) (C13) / internal 11:12-CO (+1) (C13),-0.00077032,731.912667,No Match,-1000.0
24602,3993,726.38,No Match,-1000.0,530.954686,No Match,-1000.0
4836,3994,402.292021,y3 (+1) (C13),-0.00158604,721.890295,No Match,-1000.0
17511,3995,630.403825,y5 (+1) (C13),-0.00238304,660.387149,No Match,-1000.0
4522,3996,401.20454,internal 2:5-CO (+1) / internal 7:14-NH3-NH3 (+2) (C13),-0.00146428,1204.639002,internal 3:14 (+1),-0.0069392
29820,3997,1107.512648,b11 (+1) / internal 2:12 (+1),-0.00612007,530.2879,Parent-H2O (+3),-0.00165542
6586,3998,476.273741,y8 (+2),-0.00158266,746.395337,internal 5:12-H2O-CO (+1) / internal 5:12-HCOOH (+1) / internal 6:13-H2O-CO (+1) / internal 6:13-HCOOH (+1),-0.00093827
17363,3999,629.40075,y5 (+1),-0.00266287,717.904469,No Match,-1000.0
21531,4000,675.869221,No Match,-1000.0,683.374046,No Match,-1000.0
26418,4001,750.356517,internal 3:10 (+1),-0.00358916,736.389846,y14-H2O-H2O (+2),-0.00360666
12628,4002,531.794223,y10-H2O (+2) (C13),0.00361917,630.403825,y5 (+1) (C13),-0.00238304
26337,4003,750.356517,internal 3:10 (+1),-0.00358916,524.951635,No Match,-1000.0
6233,4004,460.588166,No Match,-1000.0,732.407144,internal 8:14-CO-NH3 (+1),-0.0032432
12643,4005,531.794223,y10-H2O (+2) (C13),0.00361917,666.887703,No Match,-1000.0
29972,4006,1204.639002,internal 3:14 (+1),-0.0069392,489.73711,b10 (+2) / internal 3:12 (+2),-0.00150435
5260,4007,416.187017,b4 (+1) (C13) / internal 6:10-H2O-H2O (+1) (C13),-0.0013219,482.262768,b5-H2O-CO (+1) / b5-HCOOH (+1) / internal 9:13-CO-NH3 (+1),-0.00184306
11672,4008,530.621016,Parent-H2O (+3) (C13),-0.00031981,288.204002,y2 (+1),-0.00098585
30104,4009,1205.641873,internal 3:14 (+1) (C13),-0.00645537,183.113388,b2-H2O-CO (+1) / b2-HCOOH (+1) / internal 4:5-H2O-CO (+1) / internal 4:5-HCOOH (+1) / internal 11:12-H2O-CO (+1) / internal 11:12-HCOOH (+1),-0.00058384
2748,4010,298.104311,internal 2:4-H2O (+1) / internal 9:11-NH3 (+1),-0.00094933,721.890295,No Match,-1000.0
8209,4011,497.264778,internal 4:13-CO (+2) (C13),-0.00147714,425.707564,b9 (+2),-0.0012471
3338,4012,371.193813,internal 3:6 (+1),-0.00130197,428.215597,internal 3:7 (+1),-0.00162225
12529,4013,531.794223,y10-H2O (+2) (C13),0.00361917,175.119605,y1 (+1),-0.00065283
29598,4014,1091.55473,internal 3:13 (+1),-0.00673118,316.114992,internal 2:4 (+1),-0.00106564
28566,4015,952.544553,y8 (+1) (C13),-0.00415795,416.187017,b4 (+1) (C13) / internal 6:10-H2O-H2O (+1) (C13),-0.0013219
4235,4016,399.225909,y7-NH3 (+2),0.00351886,521.297717,No Match,-1000.0
6467,4017,476.273741,y8 (+2),-0.00158266,415.183883,b4 (+1) / internal 6:10-H2O-H2O (+1),-0.00154273
21622,4018,680.872829,y13-H2O (+2),-0.00260386,495.779102,y9-H2O (+2),-0.00149414
24128,4019,721.890295,No Match,-1000.0,667.389809,No Match,-1000.0
17558,4020,630.403825,y5 (+1) (C13),-0.00238304,759.391959,No Match,-1000.0
29501,4021,1080.604578,y10 (+1) (C13),-0.00560545,603.793117,b12 (+2),-0.00200785
24666,4022,726.38,No Match,-1000.0,689.877751,y13 (+2),-0.00224352
7400,4023,487.266092,y9-H2O-NH3 (+2),-0.00175869,597.346987,y11 (+2) (C13),-0.0018305
7097,4024,482.262768,b5-H2O-CO (+1) / b5-HCOOH (+1) / internal 9:13-CO-NH3 (+1),-0.00184306,717.904469,No Match,-1000.0
22715,4025,688.870291,No Match,-1000.0,603.793117,b12 (+2),-0.00200785
2619,4026,298.104311,internal 2:4-H2O (+1) / internal 9:11-NH3 (+1),-0.00094933,229.119049,b2 (+1) / internal 4:5 (+1) / internal 11:12 (+1),-0.00076553
24391,4027,725.878589,No Match,-1000.0,425.707564,b9 (+2),-0.0012471
28260,4028,879.399748,internal 2:10 (+1) / internal 3:11 (+1),-0.00422707,531.794223,y10-H2O (+2) (C13),0.00361917
28941,4029,1008.563901,y9 (+1),-0.00539706,510.25783,b5-H2O (+1) / internal 9:13-NH3 (+1),-0.00199044
29961,4030,1204.639002,internal 3:14 (+1),-0.0069392,429.1995,internal 2:5 (+1),-0.00150966
8686,4031,500.273383,b5-CO (+1),-0.00189337,814.482029,y7 (+1),-0.00390064
22201,4032,682.371222,No Match,-1000.0,646.348316,y12-NH3 (+2) (C13),-0.00296254
24521,4033,725.878589,No Match,-1000.0,815.484834,y7 (+1) (C13),-0.00335081
9403,4034,504.784561,y9 (+2),-0.0016708,202.121175,internal 10:11-CO-CO (+1),-0.00255717
5821,4035,429.1995,internal 2:5 (+1),-0.00150966,536.625725,Parent (+3) (C13),-0.00150724
16296,4036,597.848378,No Match,-1000.0,661.858094,No Match,-1000.0
9654,4037,505.285893,y9 (+2) (C13),-0.00132538,541.306032,No Match,-1000.0
17860,4038,645.850301,y12-H2O (+2) (C13),0.00304467,660.881708,No Match,-1000.0
16442,4039,599.30583,b6 (+1),-0.00231197,554.760058,b11 (+2) (C13) / internal 2:12 (+2) (C13),-0.00147839
7432,4040,487.266092,y9-H2O-NH3 (+2),-0.00175869,680.872829,y13-H2O (+2),-0.00260386
5095,4041,415.183883,b4 (+1) / internal 6:10-H2O-H2O (+1),-0.00154273,500.273383,b5-CO (+1),-0.00189337
22636,4042,688.870291,No Match,-1000.0,300.156407,b3 (+1) / b6 (+2) / internal 3:5 (+1) / internal 4:6 (+1),-0.00100975
23437,4043,690.880814,No Match,-1000.0,668.863524,y13-HNCNH (+2),0.00108448
20357,4044,667.389809,No Match,-1000.0,1205.641873,internal 3:14 (+1) (C13),-0.00645537
2693,4045,298.104311,internal 2:4-H2O (+1) / internal 9:11-NH3 (+1),-0.00094933,540.804661,y10 (+2) (C13),-0.00153649
10255,4046,517.276486,No Match,-1000.0,951.541865,y8 (+1),-0.00482478
12384,4047,531.621297,No Match,-1000.0,416.187017,b4 (+1) (C13) / internal 6:10-H2O-H2O (+1) (C13),-0.0013219
8737,4048,500.357482,y4 (+1),-0.00198796,476.273741,y8 (+2),-0.00158266
17982,4049,646.348316,y12-NH3 (+2) (C13),-0.00296254,521.631926,No Match,-1000.0
14863,4050,554.258768,b11 (+2) / internal 2:12 (+2),-0.0018658,532.294456,y10-NH3 (+2) (C13),-0.00460604
10173,4051,517.276486,No Match,-1000.0,537.279979,internal 3:8-CO (+1),-0.00200701
22617,4052,683.374046,No Match,-1000.0,1107.512648,b11 (+1) / internal 2:12 (+1),-0.00612007
1329,4053,202.121175,internal 10:11-CO-CO (+1),-0.00255717,660.387149,No Match,-1000.0
1523,4054,202.127494,b2-CO (+1) (C13) / internal 4:5-CO (+1) (C13) / internal 11:12-CO (+1) (C13),-0.00077032,689.374307,No Match,-1000.0
3399,4055,371.193813,internal 3:6 (+1),-0.00130197,597.848378,No Match,-1000.0
644,4056,187.072039,internal 3:4 (+1),-0.00070573,675.365928,y13-HCOH (+2) (C13),0.0059744
6711,4057,476.775123,y8 (+2) (C13),-0.00128724,629.40075,y5 (+1),-0.00266287
15571,4058,587.840184,y11-H2O (+2),-0.00198726,554.258768,b11 (+2) / internal 2:12 (+2),-0.0018658
10775,4059,524.284538,Parent-H2O-H2O (+3),-0.00181498,815.484834,y7 (+1) (C13),-0.00335081
5336,4060,416.187017,b4 (+1) (C13) / internal 6:10-H2O-H2O (+1) (C13),-0.0013219,667.389809,No Match,-1000.0
21954,4061,681.870748,No Match,-1000.0,416.187017,b4 (+1) (C13) / internal 6:10-H2O-H2O (+1) (C13),-0.0013219
18638,4062,654.359227,y12 (+2),-0.00227641,383.194391,b8-CO (+2) / internal 2:5-H2O-CO (+1) / internal 2:5-HCOOH (+1) / internal 3:7-CO-NH3 (+1),0.00373673
10327,4063,521.297717,No Match,-1000.0,524.284538,Parent-H2O-H2O (+3),-0.00181498
28656,4064,952.544553,y8 (+1) (C13),-0.00415795,668.386186,No Match,-1000.0
13034,4065,535.850077,No Match,-1000.0,759.391959,No Match,-1000.0
21524,4066,675.869221,No Match,-1000.0,675.365928,y13-HCOH (+2) (C13),0.0059744
6655,4067,476.775123,y8 (+2) (C13),-0.00128724,487.767518,y9-H2O-NH3 (+2) (C13),-0.00150727
26220,4068,747.394056,internal 5:12-H2O-CO (+1) (C13) / internal 5:12-HCOOH (+1) (C13) / internal 6:13-H2O-CO (+1) (C13) / internal 6:13-HCOOH (+1) (C13),0.00369757,668.386186,No Match,-1000.0
19788,4069,661.357419,No Match,-1000.0,681.870748,No Match,-1000.0
29326,4070,1079.601791,y10 (+1),-0.00617328,599.30583,b6 (+1),-0.00231197
5387,4071,416.187017,b4 (+1) (C13) / internal 6:10-H2O-H2O (+1) (C13),-0.0013219,1009.566717,y9 (+1) (C13),-0.00485823
10321,4072,521.297717,No Match,-1000.0,505.285893,y9 (+2) (C13),-0.00132538
7776,4073,489.73711,b10 (+2) / internal 3:12 (+2),-0.00150435,668.386186,No Match,-1000.0
2936,4074,300.156407,b3 (+1) / b6 (+2) / internal 3:5 (+1) / internal 4:6 (+1),-0.00100975,753.896121,No Match,-1000.0
19833,4075,661.357419,No Match,-1000.0,1107.512648,b11 (+1) / internal 2:12 (+1),-0.00612007
6729,4076,476.775123,y8 (+2) (C13),-0.00128724,667.861197,y13-CO-NH3 (+2) (C13),0.00525604
2395,4077,272.161442,b3-CO (+1) / b6-CO-CO (+2) / internal 3:5-CO (+1) / internal 4:6-CO (+1),-0.00095937,690.379342,y13 (+2) (C13),-0.0021571
23414,4078,690.880814,No Match,-1000.0,625.839478,No Match,-1000.0
827,4079,195.08835,internal 7:8 (+1) / internal 8:9 (+1),-0.00069795,689.374307,No Match,-1000.0
17422,4080,630.403825,y5 (+1) (C13),-0.00238304,397.19662,b8 (+2),-0.00103496
29282,4081,1079.601791,y10 (+1),-0.00617328,500.357482,y4 (+1),-0.00198796
9173,4082,503.268414,No Match,-1000.0,681.370686,y13-H2O (+2) (C13),0.00121656
7345,4083,487.266092,y9-H2O-NH3 (+2),-0.00175869,476.273741,y8 (+2),-0.00158266
1735,4084,229.119049,b2 (+1) / internal 4:5 (+1) / internal 11:12 (+1),-0.00076553,1080.604578,y10 (+1) (C13),-0.00560545
2411,4085,272.161442,b3-CO (+1) / b6-CO-CO (+2) / internal 3:5-CO (+1) / internal 4:6-CO (+1),-0.00095937,746.892819,No Match,-1000.0
14926,4086,554.258768,b11 (+2) / internal 2:12 (+2),-0.0018658,694.319024,internal 2:8 (+1),-0.0035443
8645,4087,500.273383,b5-CO (+1),-0.00189337,668.361566,No Match,-1000.0
8556,4088,500.273383,b5-CO (+1),-0.00189337,416.187017,b4 (+1) (C13) / internal 6:10-H2O-H2O (+1) (C13),-0.0013219
1627,4089,229.119049,b2 (+1) / internal 4:5 (+1) / internal 11:12 (+1),-0.00076553,524.284538,Parent-H2O-H2O (+3),-0.00181498
14586,4090,540.804661,y10 (+2) (C13),-0.00153649,736.389846,y14-H2O-H2O (+2),-0.00360666
12278,4091,531.297907,y10-H2O (+2),-0.00174225,625.839478,No Match,-1000.0
29566,4092,1080.604578,y10 (+1) (C13),-0.00560545,814.482029,y7 (+1),-0.00390064
26170,4093,747.394056,internal 5:12-H2O-CO (+1) (C13) / internal 5:12-HCOOH (+1) (C13) / internal 6:13-H2O-CO (+1) (C13) / internal 6:13-HCOOH (+1) (C13),0.00369757,531.297907,y10-H2O (+2),-0.00174225
22662,4094,688.870291,No Match,-1000.0,487.266092,y9-H2O-NH3 (+2),-0.00175869
9961,4095,510.25783,b5-H2O (+1) / internal 9:13-NH3 (+1),-0.00199044,487.767518,y9-H2O-NH3 (+2) (C13),-0.00150727
5743,4096,429.1995,internal 2:5 (+1),-0.00150966,175.119605,y1 (+1),-0.00065283
27413,4097,758.462697,y6 (+1) (C13),-0.00267753,603.793117,b12 (+2),-0.00200785
20996,4098,668.386186,No Match,-1000.0,667.389809,No Match,-1000.0
4716,4099,402.292021,y3 (+1) (C13),-0.00158604,316.114992,internal 2:4 (+1),-0.00106564
26695,4100,754.399472,y14 (+2),-0.00266797,532.294456,y10-NH3 (+2) (C13),-0.00460604
4241,4101,399.225909,y7-NH3 (+2),0.00351886,529.270973,b5 (+1) (C13) / internal 5:10-H2O-H2O (+1) (C13),-0.00121392
29700,4102,1091.55473,internal 3:13 (+1),-0.00673118,668.386186,No Match,-1000.0
29586,4103,1091.55473,internal 3:13 (+1),-0.00673118,201.124072,b2-CO (+1) / internal 4:5-CO (+1) / internal 11:12-CO (+1),-0.00070315
15506,4104,587.840184,y11-H2O (+2),-0.00198726,383.194391,b8-CO (+2) / internal 2:5-H2O-CO (+1) / internal 2:5-HCOOH (+1) / internal 3:7-CO-NH3 (+1),0.00373673
28878,4105,978.469136,b10 (+1) / internal 3:12 (+1),-0.00520116,1079.601791,y10 (+1),-0.00617328
12648,4106,531.794223,y10-H2O (+2) (C13),0.00361917,668.386186,No Match,-1000.0
3876,4107,397.19662,b8 (+2),-0.00103496,500.237156,internal 2:6 (+1),-0.00205188
27819,4108,759.893576,No Match,-1000.0,754.399472,y14 (+2),-0.00266797
490,4109,183.113388,b2-H2O-CO (+1) / b2-HCOOH (+1) / internal 4:5-H2O-CO (+1) / internal 4:5-HCOOH (+1) / internal 11:12-H2O-CO (+1) / internal 11:12-HCOOH (+1),-0.00058384,731.912667,No Match,-1000.0
11971,4110,530.954686,No Match,-1000.0,722.392114,No Match,-1000.0
14600,4111,540.804661,y10 (+2) (C13),-0.00153649,759.391959,No Match,-1000.0
2477,4112,288.204002,y2 (+1),-0.00098585,486.22122,No Match,-1000.0
5361,4113,416.187017,b4 (+1) (C13) / internal 6:10-H2O-H2O (+1) (C13),-0.0013219,726.38,No Match,-1000.0
4709,4114,402.292021,y3 (+1) (C13),-0.00158604,230.122528,b2 (+1) (C13) / internal 4:5 (+1) (C13) / internal 11:12 (+1) (C13),-0.0008897
408,4115,183.113388,b2-H2O-CO (+1) / b2-HCOOH (+1) / internal 4:5-H2O-CO (+1) / internal 4:5-HCOOH (+1) / internal 11:12-H2O-CO (+1) / internal 11:12-HCOOH (+1),-0.00058384,521.631926,No Match,-1000.0
18326,4116,646.851595,No Match,-1000.0,505.787346,No Match,-1000.0
28053,4117,815.484834,y7 (+1) (C13),-0.00335081,482.226425,internal 2:6-H2O (+1) / internal 2:11-H2O-CO (+2) (C13) / internal 2:11-HCOOH (+2) (C13),-0.00188557
28820,4118,978.469136,b10 (+1) / internal 3:12 (+1),-0.00520116,659.353388,No Match,-1000.0
5149,4119,415.183883,b4 (+1) / internal 6:10-H2O-H2O (+1),-0.00154273,646.348316,y12-NH3 (+2) (C13),-0.00296254
19514,4120,660.881708,No Match,-1000.0,401.288604,y3 (+1),-0.00152387
25539,4121,745.895269,y14-H2O (+2) (C13),-0.0020699,691.382239,No Match,-1000.0
12800,4122,532.294456,y10-NH3 (+2) (C13),-0.00460604,625.839478,No Match,-1000.0
8011,4123,495.779102,y9-H2O (+2),-0.00149414,202.121175,internal 10:11-CO-CO (+1),-0.00255717
6871,4124,482.226425,internal 2:6-H2O (+1) / internal 2:11-H2O-CO (+2) (C13) / internal 2:11-HCOOH (+2) (C13),-0.00188557,554.258768,b11 (+2) / internal 2:12 (+2),-0.0018658
4509,4125,401.20454,internal 2:5-CO (+1) / internal 7:14-NH3-NH3 (+2) (C13),-0.00146428,759.893576,No Match,-1000.0
26766,4126,754.399472,y14 (+2),-0.00266797,736.389846,y14-H2O-H2O (+2),-0.00360666
16435,4127,599.30583,b6 (+1),-0.00231197,536.625725,Parent (+3) (C13),-0.00150724
16051,4128,597.346987,y11 (+2) (C13),-0.0018305,487.767518,y9-H2O-NH3 (+2) (C13),-0.00150727
